"Título","Formato","Plataforma","Tema","Pilar","Data planejada","Horário de produção","Horário de postagem","Tempo estimado","Status","Prioridade","Descrição","Checklist de produção","Link de referência","Observações"
"Codex x Claude Code: qual usar em 2026?","Carrossel","Instagram","Comparativo","IA + Automação (glue)","2026-06-28","19h-21h","19h","50min","ideia","alta","Tabela honesta pra escolher hoje. Fonte: MindStudio 2026.","Roteiro|Capa gancho|Slides|Tabela comparativa|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#3","Publicado junto do V1. Semente de vídeo comparativo."
"Codex explicado pra quem trabalha com automação","Carrossel","Instagram","Codex","Codex","2026-06-29","20h-21h30","12h","40min","ideia","alta","O que é o Codex e onde ele encaixa em quem já automatiza.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#1","Semente de V2."
"O que eu testaria PRIMEIRO no Codex","Carrossel","Instagram","Codex","Codex","2026-06-30","20h-21h30","12h","35min","ideia","alta","Roteiro de 5 primeiros comandos sem medo de quebrar nada.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#2","Reuso em R3 e V2."
"Codex resolvendo uma tarefa chata no terminal","Reel","Instagram","Codex","Codex","2026-06-30","20h-22h30","19h-21h","45min","ideia","alta","Tela: 60min na mão viram 1 comando.","Roteiro/gancho|Gravar tela|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r3","Corte do C4 e V2."
"O que eu faria se começasse em automação HOJE","Carrossel","Instagram","IA + Automação","IA + Automação (glue)","2026-07-01","20h-21h","12h","40min","ideia","média","A ordem que eu seguiria (e o que pularia).","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#27","Alto potencial de compartilhamento. Vira post LinkedIn."
"Short Copa — palpite da rodada","Reel","Instagram","Inteligência Artilheira","Copa","2026-07-01","-","pós-jogo","10min","scheduled","média","Claude vs Codex: quem acerta a rodada.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine."
"5 tarefas chatas que o Codex resolve no terminal","Carrossel","Instagram","Codex","Codex","2026-07-02","20h-21h30","12h","35min","ideia","média","5 tarefas manuais que o Codex faz em 1 comando.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#4","Cada tarefa pode virar 1 reel."
"App de checklist no Power Apps em 1 tela","Reel","Instagram","Power Apps","Power Apps","2026-07-02","20h-22h30","19h-21h","45min","ideia","alta","Tela: lista que marca e salva sozinha.","Roteiro/gancho|Gravar tela|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r4","Corte do C22 e V4."
"Codex no Windows: agora ele clica sozinho","Carrossel","Instagram","Codex","Codex","2026-07-03","20h-21h","12h","40min","ideia","média","Computer Use: Codex opera apps do Windows. Fonte: GPT-5.3-Codex 2026.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#5","Reel de demonstração de tela possível."
"Short Copa — resultado da rodada","Reel","Instagram","Inteligência Artilheira","Copa","2026-07-03","-","pós-jogo","10min","scheduled","média","Quem ganhou a rodada: Claude ou Codex.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine."
"Codex do zero: como eu usaria IA pra acelerar projetos de automação","Vídeo longo","YouTube","Codex","Codex","2026-07-04","Tarde + 20h","Dom 10h","4-6h","ideia","alta","Mão na Massa: 1ª tarefa real no terminal + Computer Use no Windows.","Roteiro/blocos|Gravar tela|Editar|Thumb+título|Doc estudo|Doc resumo|Publicar+descrição","planejamento/banco_videos_longos.md#v2","Gravar sáb, publicar dom 05. Gera 2 docs."
"Meu setup de IA pra trabalhar","Carrossel","Instagram","IA + Automação","IA + Automação (glue)","2026-07-05","19h-21h","19h","40min","ideia","alta","Codex + Claude Code + Power Platform: por que cada um.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#30","Publicado junto do V2. Reuso em R8 e LinkedIn."
"Claude comum x Claude Code: a diferença que ninguém explica","Carrossel","Instagram","Claude Code","Claude Code","2026-07-06","20h-21h30","12h","40min","ideia","alta","Chat conversa; Code lê arquivos, edita e roda comandos.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#7","Reuso em R1 e V3."
"Use Claude Code pra ENTENDER um projeto que não é seu","Carrossel","Instagram","Claude Code","Claude Code","2026-07-07","20h-21h30","12h","45min","ideia","alta","Mapa da pasta, fluxo principal e riscos em minutos.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#8","Bloco 1 de V3."
"Subagents do Claude Code em 20s","Reel","Instagram","Claude Code","Claude Code","2026-07-07","20h-22h30","19h-21h","25min","ideia","alta","Câmera + diagrama: 1 vira vários em paralelo.","Roteiro/gancho|Gravar|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r5","Corte do C9 e V3. Fonte: Anthropic jun/2026."
"Low-code x código: quando usar cada um","Carrossel","Instagram","IA + Automação","IA + Automação (glue)","2026-07-08","20h-21h","12h","35min","ideia","média","Usar o errado custa semanas. Como eu decido.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#28","Vira post LinkedIn."
"Short Copa — palpite da rodada","Reel","Instagram","Inteligência Artilheira","Copa","2026-07-08","-","pós-jogo","10min","scheduled","média","Claude vs Codex: quem acerta a rodada.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine."
"Claude Code + contexto: arquivos, arquitetura e CLAUDE.md","Carrossel","Instagram","Claude Code","Claude Code","2026-07-09","20h-21h30","12h","45min","ideia","média","A IA não esquece — você não deu contexto. Resolve com 1 arquivo.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#10","Bloco 2 de V3."
"Alerta no Teams automático","Reel","Instagram","Power Automate","Power Automate","2026-07-09","20h-22h30","19h-21h","40min","ideia","alta","Tela: deixa o Power Automate postar no Teams.","Roteiro/gancho|Gravar tela|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r6","Corte do C15 e V1."
"3 automações que montei com Claude Code numa noite","Carrossel","Instagram","Claude Code","Claude Code","2026-07-10","20h-21h","12h","40min","ideia","média","O que dá pra montar numa noite com Claude Code.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#11","Gera 3 reels."
"Short Copa — resultado da rodada","Reel","Instagram","Inteligência Artilheira","Copa","2026-07-10","-","pós-jogo","10min","scheduled","média","Quem ganhou a rodada: Claude ou Codex.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine."
"Claude Code para iniciantes: usar IA pra entender e melhorar um projeto","Vídeo longo","YouTube","Claude Code","Claude Code","2026-07-11","Tarde + 20h","Dom 10h","4-6h","ideia","alta","Mão na Massa: mapear, entender e melhorar um projeto + subagents (bônus).","Roteiro/blocos|Gravar tela|Editar|Thumb+título|Doc estudo|Doc resumo|Publicar+descrição","planejamento/banco_videos_longos.md#v3","Gravar sáb, publicar dom 12. Gera 2 docs."
"Subagents: o recurso de 2026 que multiplica o Claude Code","Carrossel","Instagram","Claude Code","Claude Code","2026-07-12","19h-21h","19h","50min","ideia","média","Skill ensina, Hook obriga, Subagent isola. Tema avançado.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#9","Publicado junto do V3. Tema complexo: gera doc-resumo público."
"App em 30 min: enviar anexos do Power Apps pro SharePoint","Carrossel","Instagram","Power Apps","Power Apps","2026-07-13","20h-21h30","12h","45min","ideia","alta","Um app que envia anexos pra uma pasta do SharePoint em 30min.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#20","Bloco principal de V4."
"Tela de solicitação interna: form + galeria + botão","Carrossel","Instagram","Power Apps","Power Apps","2026-07-14","20h-21h30","12h","40min","ideia","alta","Toda área precisa de uma tela de solicitação. Faça a sua.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#21","Variação em V4."
"Montei um Power App CONVERSANDO com IA","Reel","Instagram","Power Apps","Power Apps","2026-07-14","20h-22h30","19h-21h","45min","ideia","alta","Tela: descreve a tela em português e a IA constrói (MCP authoring).","Roteiro/gancho|Gravar tela|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r7","Corte do C23 e V4. Fonte: Power Platform mai/2026."
"5 erros de iniciante no Power Apps","Carrossel","Instagram","Power Apps","Power Apps","2026-07-15","20h-21h","12h","35min","ideia","média","5 erros que todo iniciante comete (eu cometi todos).","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#25","Vira reel e post LinkedIn."
"Short Copa — palpite da rodada","Reel","Instagram","Inteligência Artilheira","Copa","2026-07-15","-","pós-jogo","10min","scheduled","média","Claude vs Codex: quem acerta a rodada.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine. Reta final da Copa."
"App de checklist no Power Apps do zero","Carrossel","Instagram","Power Apps","Power Apps","2026-07-16","20h-21h30","12h","35min","ideia","média","Checklist no papel some. Esse app marca, salva e some o estresse.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#22","Reuso em R4."
"Meu setup de IA pra trabalhar","Reel","Instagram","IA + Automação","IA + Automação (glue)","2026-07-16","20h-22h30","19h-21h","25min","ideia","alta","Câmera: 3 ferramentas, 3 dores resolvidas.","Roteiro/gancho|Gravar|Cortar/legendar|Texto na tela|CTA|Postar 19h|Responder 1a hora","planejamento/banco_reels.md#r8","Corte do C30. Reel de câmera (fácil)."
"Construa um Power App CONVERSANDO com IA (MCP authoring)","Carrossel","Instagram","Power Apps","Power Apps","2026-07-17","20h-21h","12h","50min","ideia","média","Você descreve a tela; a IA constrói o app. Real em 2026.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#23","Tema complexo: gera doc-resumo público. Demo em V4."
"Short Copa — resultado / encerramento","Reel","Instagram","Inteligência Artilheira","Copa","2026-07-17","-","pós-jogo","10min","scheduled","média","Resultado da rodada e prévia do encerramento da série.","Gerado pela routine|Revisar|Postar","planejamento/banco_reels.md#copa","Série Copa — routine."
"Power Apps na prática: app que envia anexos pro SharePoint (do zero ao publicado)","Vídeo longo","YouTube","Power Apps","Power Apps","2026-07-18","Tarde + 20h","Dom 10h","4-6h","ideia","alta","Mão na Massa: construir e publicar um app útil + variação montando com IA.","Roteiro/blocos|Gravar tela|Editar|Thumb+título|Doc estudo|Doc resumo|Publicar+descrição","planejamento/banco_videos_longos.md#v4","Gravar sáb, publicar dom 19. Gera 2 docs."
"App Skills: seu Power App vira ferramenta de agente","Carrossel","Instagram","Power Apps","Power Apps","2026-07-19","19h-21h","19h","50min","ideia","média","Seu Power App pode virar ferramenta que um agente de IA usa. Avançado.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#24","Publicado junto do V4. Tema complexo: doc-resumo público."
"Self-healing: fluxos que se consertam sozinhos em 2026","Carrossel","Instagram","Power Automate","Power Automate","2026-07-19","19h-21h","21h","40min","ideia","baixa","Seu fluxo quebrou porque mudaram um botão? Em 2026 ele se conserta. Fonte: wave 1 2026.","Roteiro|Capa gancho|Slides|Slide NA PRATICA|CTA|Legenda|Agendar","planejamento/banco_carrosseis.md#19","Carrossel de encerramento da série. 2º post do domingo (opcional)."
